[2026-08-11T19:07:18.991Z] GET http://localhost:3737/_next/static/chunks/PM_orbit-os_87ae41c4._.js → pending (?ms, ?B)
[2026-08-11T19:07:18.991Z] GET http://localhost:3737/_next/static/chunks/PM_orbit-os_src_app_page_tsx_6cd4db0a._.js → pending (?ms, ?B)
[2026-08-11T19:07:18.991Z] GET http://localhost:3737/_next/static/chunks/27ab9_next_dist_client_components_builtin_global-error_6801e5c9.js → pending (?ms, ?B)
[2026-08-11T19:07:19.042Z] GET http://localhost:3737/_next/static/media/1bffadaabf893a1e-s.7cd81963.woff2 → 200 (1ms, -301B)
[2026-08-11T19:07:19.044Z] GET http://localhost:3737/_next/static/media/23f1a98b08006014-s.a9f8c6bf.woff2 → 200 (?ms, -302B)
[2026-08-11T19:07:19.218Z] GET http://localhost:3737/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js → 200 (9ms, 3838B)
[2026-08-11T19:07:19.218Z] GET http://localhost:3737/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_99ecd5cd._.js → 200 (8ms, 288B)
[2026-08-11T19:08:08.256Z] GET http://localhost:3737/_next/static/chunks/%5Broot-of-the-server%5D__e4eeb3eb._.css → 200 (15ms, 9126B)
[2026-08-11T19:08:20.631Z] GET http://localhost:3737/?_rsc=1ch6o → 200 (305ms, ?B)
[2026-08-11T19:08:20.846Z] GET http://localhost:3737/__nextjs_font/geist-latin.woff2 → 200 (129ms, 28369B)
[2026-08-11T19:08:20.964Z] GET http://localhost:3737/_next/static/chunks/PM_orbit-os_5f2be68a._.js → 200 (61ms, 20317B)
[2026-08-11T19:08:21.092Z] GET http://localhost:3737/_next/static/chunks/PM_orbit-os_5f2be68a._.js → 200 (36ms, 20317B)
[2026-08-11T19:08:37.457Z] GET http://localhost:3737/?_rsc=1ch6o → pending (?ms, ?B)
[2026-08-11T19:08:37.462Z] GET http://localhost:3737/_next/static/chunks/%5Broot-of-the-server%5D__e4eeb3eb._.css → pending (?ms, ?B)
[2026-08-11T19:09:11.109Z] GET http://localhost:3737/ → 200 (539ms, ?B)
[2026-08-11T19:09:11.672Z] GET http://localhost:3737/_next/static/media/54fc36028e2bb174-s.p.a3b6b797.woff2 → 200 (5ms, -302B)
[2026-08-11T19:09:11.677Z] GET http://localhost:3737/_next/static/media/83afe278b6a6bb3c-s.p.3a6ba036.woff2 → 200 (1ms, -300B)
[2026-08-11T19:09:11.678Z] GET http://localhost:3737/_next/static/chunks/%5Broot-of-the-server%5D__e4eeb3eb._.css → 200 (9ms, 9176B)
[2026-08-11T19:09:11.678Z] GET http://localhost:3737/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_d4aeaf06._.js → 200 (8ms, 671B)
[2026-08-11T19:09:11.678Z] GET http://localhost:3737/_next/static/chunks/27ab9_next_dist_compiled_react-dom_c02082fa._.js → pending (?ms, ?B)
[2026-08-11T19:09:11.678Z] GET http://localhost:3737/_next/static/chunks/27ab9_next_dist_compiled_react-server-dom-turbopack_f3bcf417._.js → pending (?ms, ?B)
[2026-08-11T19:09:11.678Z] GET http://localhost:3737/_next/static/chunks/27ab9_next_dist_compiled_next-devtools_index_363fd55b.js → pending (?ms, ?B)
[2026-08-11T19:09:11.678Z] GET http://localhost:3737/_next/static/chunks/27ab9_next_dist_compiled_b12ed00b._.js → pending (?ms, ?B)
[2026-08-11T19:09:11.679Z] GET http://localhost:3737/_next/static/chunks/27ab9_next_dist_client_dcc6b285._.js → pending (?ms, ?B)
[2026-08-11T19:09:11.679Z] GET http://localhost:3737/_next/static/chunks/27ab9_next_dist_e38d9da7._.js → pending (?ms, ?B)
[2026-08-11T19:09:11.679Z] GET http://localhost:3737/_next/static/chunks/27ab9_%40swc_helpers_cjs_335f9ca6._.js → pending (?ms, ?B)
[2026-08-11T19:09:11.679Z] GET http://localhost:3737/_next/static/chunks/PM_orbit-os_a0ff3932._.js → pending (?ms, ?B)
[2026-08-11T19:09:11.679Z] GET http://localhost:3737/_next/static/chunks/turbopack-PM_orbit-os_9e200e60._.js → pending (?ms, ?B)
[2026-08-11T19:09:11.679Z] GET http://localhost:3737/_next/static/chunks/27ab9_next_dist_690b4cfa._.js → pending (?ms, ?B)
[2026-08-11T19:09:11.679Z] GET http://localhost:3737/_next/static/chunks/PM_orbit-os_src_app_favicon_ico_mjs_9b719d4f._.js → pending (?ms, ?B)
